YEAR;WEEK;START_DATE;MID_DATE;END_DATE;AGE;N_DEATH;FLAG
2010;14;2010-04-04;2010-04-07;2010-04-10;80-89;365;d
2010;14;2010-04-04;2010-04-07;2010-04-10;70-79;241;d
2010;14;2010-04-04;2010-04-07;2010-04-10;60-69;155;d
2010;14;2010-04-04;2010-04-07;2010-04-10;50-59;81;d
2010;14;2010-04-04;2010-04-07;2010-04-10;0-49;70;d
2010;15;2010-04-11;2010-04-14;2010-04-17;Total;1192;d
2010;15;2010-04-11;2010-04-14;2010-04-17;90+;209;d
2010;15;2010-04-11;2010-04-14;2010-04-17;80-89;418;d
2010;15;2010-04-11;2010-04-14;2010-04-17;70-79;267;d
2010;15;2010-04-11;2010-04-14;2010-04-17;60-69;160;d
2010;15;2010-04-11;2010-04-14;2010-04-17;50-59;81;d
2010;15;2010-04-11;2010-04-14;2010-04-17;0-49;57;d
2010;16;2010-04-18;2010-04-21;2010-04-24;Total;1142;d
2010;16;2010-04-18;2010-04-21;2010-04-24;90+;178;d
2010;16;2010-04-18;2010-04-21;2010-04-24;80-89;411;d
2010;16;2010-04-18;2010-04-21;2010-04-24;70-79;225;d
2010;16;2010-04-18;2010-04-21;2010-04-24;60-69;172;d
2010;16;2010-04-18;2010-04-21;2010-04-24;50-59;94;d
2010;16;2010-04-18;2010-04-21;2010-04-24;0-49;62;d
2010;17;2010-04-25;2010-04-28;2010-05-01;Total;1187;d
2010;17;2010-04-25;2010-04-28;2010-05-01;90+;184;d
2010;17;2010-04-25;2010-04-28;2010-05-01;80-89;404;d
2010;17;2010-04-25;2010-04-28;2010-05-01;70-79;251;d
2010;17;2010-04-25;2010-04-28;2010-05-01;60-69;178;d
2010;17;2010-04-25;2010-04-28;2010-05-01;50-59;94;d
2010;17;2010-04-25;2010-04-28;2010-05-01;0-49;76;d
2010;18;2010-05-02;2010-05-05;2010-05-08;Total;1037;d
2010;18;2010-05-02;2010-05-05;2010-05-08;90+;170;d
2010;18;2010-05-02;2010-05-05;2010-05-08;80-89;346;d
2010;18;2010-05-02;2010-05-05;2010-05-08;70-79;245;d
2010;18;2010-05-02;2010-05-05;2010-05-08;60-69;127;d
2010;18;2010-05-02;2010-05-05;2010-05-08;50-59;90;d
2010;18;2010-05-02;2010-05-05;2010-05-08;0-49;59;d
2010;19;2010-05-09;2010-05-12;2010-05-15;Total;1104;d
2010;19;2010-05-09;2010-05-12;2010-05-15;90+;162;d
2010;19;2010-05-09;2010-05-12;2010-05-15;80-89;347;d
2010;19;2010-05-09;2010-05-12;2010-05-15;70-79;254;d
2010;19;2010-05-09;2010-05-12;2010-05-15;60-69;175;d
2010;19;2010-05-09;2010-05-12;2010-05-15;50-59;86;d
2010;19;2010-05-09;2010-05-12;2010-05-15;0-49;80;d
2010;20;2010-05-16;2010-05-19;2010-05-22;Total;1018;d
2010;20;2010-05-16;2010-05-19;2010-05-22;90+;150;d
2010;20;2010-05-16;2010-05-19;2010-05-22;80-89;322;d
2010;20;2010-05-16;2010-05-19;2010-05-22;70-79;230;d
2010;20;2010-05-16;2010-05-19;2010-05-22;60-69;155;d
2010;20;2010-05-16;2010-05-19;2010-05-22;50-59;88;d
2010;20;2010-05-16;2010-05-19;2010-05-22;0-49;73;d
2010;21;2010-05-23;2010-05-26;2010-05-29;Total;1130;d
2010;21;2010-05-23;2010-05-26;2010-05-29;90+;187;d
2010;21;2010-05-23;2010-05-26;2010-05-29;80-89;362;d
2010;21;2010-05-23;2010-05-26;2010-05-29;70-79;241;d
2010;21;2010-05-23;2010-05-26;2010-05-29;60-69;171;d
2010;21;2010-05-23;2010-05-26;2010-05-29;50-59;86;d
2010;21;2010-05-23;2010-05-26;2010-05-29;0-49;83;d
2010;22;2010-05-30;2010-06-02;2010-06-05;Total;1109;d
2010;22;2010-05-30;2010-06-02;2010-06-05;90+;183;d
2010;22;2010-05-30;2010-06-02;2010-06-05;80-89;369;d
2010;22;2010-05-30;2010-06-02;2010-06-05;70-79;250;d
2010;22;2010-05-30;2010-06-02;2010-06-05;60-69;152;d
2010;22;2010-05-30;2010-06-02;2010-06-05;50-59;81;d
2010;22;2010-05-30;2010-06-02;2010-06-05;0-49;74;d
2010;23;2010-06-06;2010-06-09;2010-06-12;Total;1091;d
2010;23;2010-06-06;2010-06-09;2010-06-12;90+;155;d
2010;23;2010-06-06;2010-06-09;2010-06-12;80-89;334;d
2010;23;2010-06-06;2010-06-09;2010-06-12;70-79;232;d
2010;23;2010-06-06;2010-06-09;2010-06-12;60-69;195;d
2010;23;2010-06-06;2010-06-09;2010-06-12;50-59;91;d
2010;23;2010-06-06;2010-06-09;2010-06-12;0-49;84;d
2010;24;2010-06-13;2010-06-16;2010-06-19;Total;1067;d
2010;24;2010-06-13;2010-06-16;2010-06-19;90+;172;d
2010;24;2010-06-13;2010-06-16;2010-06-19;80-89;345;d
